,tweets_original,tweets_translater_unicamp,tweets_translater_face,polaridade
148,Nao vejo logo a hora de começar.. &lt;3 😍#VideoShowAoVivo,&lt;3 #VideoShowAoVivo,I don't see the time to start. &lt;3 😍#VideoShowAoVivo,1
149,Acho q a edição do  força um pouco a posição de vilão do Léo. Ele é um amor. E até pra mandar na Miriam foi fofo #MasterChefBR,And even to send Myriam it was footing #MasterChef,I think q the edition of the force a little the position of the villain of Leo. He is a love. And even to send to Miriam was fofo #MasterChefBR,1
150,Eeeeeeee 🙌 otacosta dançando carimbó amanhã em #VídeoShowAoVivo,Eeeeeeee  otacosta dancing carimbó tomorrow,Eeeeeeee 👍 Otacosta Dancing Carimbó Tomorrow at #VideoShowAoVivo,1
151,Daqui a pouco tem #MasterChefBR e #PowerCoupleBrasil e já q não tem nada melhor pra fazer vamos comentar aqui!,From now on there is about #MasterChefBR and #Po,Soon we have #MasterChefBR and #PowerCoupleBrasil and now q has nothing better to do let’s comment here!,-1
152,"Daqui a pouco às 13hrs, começa o Domingo Legal com elenco de CDA e  fará para do time roxo 💜 #CDANoDomingoLegal #DomingoLegal","By now at 13.00 a.m., Domingo Legal starts with","This is the first time I’m going to do this, and I’m going to do this.",0
153,Muito bom Padre Fabio de Melo na #ConversacomBial,Father Fabio de Melo in #ConversacomBial,Father Fabio de Melo at #ConversacomBial,1
154,Será que ravióli de sardinha em conserva fica bom? Vou tentar fazer isso em casa. #MasterChefBR,"I'm trying to do this at home. #MasterChe""",Would it be a good thing for me? #MasterChefBR I’ll try to do it at home.,0
155,#VideoShowAoVivo saudades do Wando! Que nostalgia!,I miss Wando! What nostalgia!,I am missing Wando! what a nostalgia!,1
156,"Caraca, um imbecil machista falou um monte de basta no #encontro",A imbecil sexism spoke a lot of enough in #,"A crazy machist, Caraca, talked a lot of enough at the #touch",-1
157,"Queria uma bike, sdds 
#MaisVoce","We wanted a bike, sdds #MaisVoce","I wanted a bike, sdds #MaisVoce",-1
158,"Eu quero esse ""SAI FOFOCA"" #VideoShowAovivo","I want this ""I want this ""I want thi",I want that “SAI FOFOCA” #VideoShowAovivo,1
159,Fabrizio entre os melhores mas o melhor é a cara de inveja da dona Miriam #MasterChefBR,The best but the best is the envy face of Mr. Miriam #Master,Fabrizio among the best but the best is Mrs. Miriam's jealous face #MasterChefBR,1
160,A PAOLA TA MUITO EUUU #MasterChefBR,The PAOLA TA MUITO EUUU #MasterChef,It’s a great deal #MasterChefBR,0
161,eu sou pau rodado kkkj #VideoShowAoVivo,I am pau rodado kkkj #VideoShowAoVivo,I am pau rounded kkkj #VideoShowAoVivo,0
162,"Lua maravilhosa, segue normal #Encontro","The wonderful moon, follows normal #Encontrol #En","Wonderful moon, follow normal #Meeting",1
163,"#EDeCasa ele é mais baixo, logo o Centro de Gravidade fica próximo ao chão então fica mais difícil cair",So the Severity Center is close to the floor so it is more,"#EDeCasa it is lower, as soon as the Gravity Center is close to the ground so it becomes harder to fall",0
164,"Gosto muito da Fatima Bernardes,😍😍
#VideoShowAoVivo","I like fatima Bernardes a lot, #VideoShowAo","I like Fatima Bernardes, 😍😍 #VideoShowAoVivo",1
165,"A maquiagem da Ana Maria hoje tá parecendo que foi eu que fiz, horrível! #MaisVoce",The makeup of Ana Maria today is seeming to have been me,"The makeup of Ana Maria today looks like it was me, horrible! #MaisVoce",-1
166," me dá essa brusinha, o bicha maravilhosa essa mulher #VideoShowAoVivo",The wonderful bitch this woman #VideoShowA,"It’s a good thing to do, it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",1
167,se fosse eu eu ia fazer macarrão com sardinha enlatada kkkkkkkk #MasterChefBr,If I were I would make pasta with sauced sardine k,If it were me I would make macarron with enlated sardine kkkkkk #MasterChefBr,0
168,#MasterChefBR hj a luta vai ser boa!,The fight will be good!,#MasterChefBR hj the struggle will be good!,1
169,"Todo mundo segurando  
🕺🕺🕺
#AltasHoras",Everyone holding  #Hostings Everyone holding,Everyone keeps  #AltasHoras,0
170,"E lá se foi mais um crush do Masterchef 💔
#MasterChefBR",And there was another crush of Masterchef  #MasterChe,And there was another crush from Masterchef  #MasterChefBR,-1
171,"Quando nossos recursos chegam ao fim, os recursos de Deus estão todos disponíveis.#SextaDetremuraSDV #MaisVoce #NoisEhFeioMais","When our resources arrive at the end, God's""","When our resources come to an end, God’s resources are all available.#SextaDetremuraSDV #MaisVoce #NoisEhFeioMore",0
172,#MaisVoce Eu quero esse pijama da Ana Maria 🦄😍,#ByVoce I want this pijama from Ana Maria ,I want this pyjama from Ana Maria.,1
173,"Depois do escândalo do Temer e Aécio, Ana Maria Braga vestida de unicórnio é a pior coisa que você vai ver hoje.
#MaisVoce","#Three-year-old girls, after the scan","After the scandal of Fear and Aécio, Ana Maria Braga dressed in unicorn is the worst thing you’ll see today.",-1
174,"Quero um simpatia pra #robertocarlos me receber no camarim. Fui  show aqui, e nao deu certo mesmo estando bem pertinho dele #videoshowaovivo","I was a concert here, and it didn't work e""","I want a sympathy for #robertocarlos to receive me in the room. I went show here, and didn't go right even being well relevant to him #videoshowaovivo",-1
175,Que roupa é  essa Tie? #Encontro,#Control What clothes are this Tie? #Contro,What kind of clothes do you wear?,-1
176,Nossa! A Sandy está num nível de beleza que só Jesus. Chega a ser um insulto com a população desprovida disso #Encontro,Sandy is at a beauty level that just Jesus. It is an insu,Our! Sandy is at a level of beauty that only Jesus. It comes to be an insult with the population unprovided of it #Meet,1
177,"Orquídea lembra o filme da Anaconda e a orquídea sangrenta, tipo.. 
#encontro",#meetings,"Orkide recalls the movie of the Anaconda and the Blood Orchid, type.",0
178,#ConversaComBial E BEBO DOBRADO OUVINDO UM MODAO,#ConversationCombined and BEB DONATE OUVENDE,#ConversaComBial and Bebo Dobrado Listen to a Fashion,0
179,Quando a mulher vai presa grávida fica com a criança até 6 meses depois o filho vai morar com algum parente ou pra adoção #ConversaComBial,When the woman is arrested pregnant she stays with the,When the woman gets pregnant stay with the child up to 6 months after the child will live with some relative or for adoption #ConversaComBial,0
180,"Catra vai ser pai again, novidade nenhuma kfjfondpzmdldmdl
#TheNoite","Catra vai ser pai again, novidade nenhuma kfjfondpzm","Catra will be father again, no news kfjfondpzmdldmdl #TheNoite",0
181,Que confusão essa essa prova #MasterChefBR,What confusion this test is #MasterChefBR What confu,What confusion this test #MasterChefBR,-1
182, é o cara! Toda sexta fica mais linda ouvindo as poesias dele! #Encontro,Every Friday is more beautiful listening to his poems,Every Friday it becomes more beautiful by listening to his poems!,1
183,"sardinha é uma das 7 maravilhas do mundo, com espinha e tudo #masterchefbr","Sardine is one of the 7 wonders in the world, with spin","Sardinia is one of the 7 wonders of the world, with spine and everything #masterchefbr",1
184,Tem uma menina parecida com a Vitória do Anavitória no Altas Horas hsjshshs #AltasHoras,There is a girl like the Vitória do Anavitória no Altas Horas h,You have a girl like the Victory of Anavitoria at High Hours hsjshs #High Hours,0
185,#AdoçãoTardia temática importantíssima em ser levantada. #Encontro parabéns!,I would like to congratulate you!,This is a very important theme to be lifted up. #Gratulations!,1
186,To achando q o problema é o avental azul #MasterChefBR,I thinking that the problem is the blue apron #,To find q the problem is the blue avental #MasterChefBR,-1
187,"Fátima cortando o convidado do #Encontro medinho de gongarem a globo, que deselegante!",Fátima cutting the guest of #I meet medinho to slaugh,"Fatima cutting the guest of the #Meet Mean to gongar the globe, what diselegant!",-1
188,"Hoje o papo do  é com o , não dá pra perder!  #Carcereiros #ConversaComBial","Today the chat of is with , you cannot lose! #Carcers","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",1
189,"Maluma é muito lindo!
😱😍
#vivaoslatinos
#TheNoite", #vivaoslatins #TheNoite is very beauti,It’s very nice! 🙂 🙂 #vivaoslatinos #TheNoite,1
190,"Pode entrar, MARISA, E MARAIARA #ConversaComBial","You can enter, MARISA, AND MARAIARA #Conversation","You can enter, MARISA, and MARAIARA #ConversaComBial",0
191,"#TheNoite 

KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK MANOOOOOOOOO",KKKKKKKKKKKKKKKKKKK,The night KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,1
192,miriam tem fazendo hora extra no programa já #MasterChefBR,My laughter is doing more hours in the program already #,Miriam has done extra time in the #MasterChefBR program already,-1
193,Se fosse a Fátima teria convidado só global q apoiou Aecio kkkkk #Encontro,"If it were Fátima, it would have invited only global",If it were Fatima would have invited only global q supported Aecio kkkkk #Meet,-1
194,"#VideoShowAoVivo  sendo Tio, corrigindo (cortando) o   kkkk #épico","I live with Tio, correcting (cutting) the kkkk","#VideoShowAoLive as a Son, Correction (cutting) the kkkk #epic",1
195,Eu sou assim kkk n consigo falar nd q sinto 😂 #Encontro,I am like this kkk I cannot speak nd,I am so kkk n can speak nd q feel 😂 #Meet,0
196,"A linda da  no #AltasHoras 😊
O programa tá show!",The beautiful da no #AltasHours  The program is show,This is the great show of the show!,1
197,É o tchan no #altashoras ❤️❤️❤️,"It's the tchan in #high-hours ❤️❤️""",It is the tchan on #altashoras ❤️❤️❤️,1
198,"Consolidados - GLOBO (15/05):

#AForçaDoQuerer 31.9
#OsDiasEramAssim 22.4
#TelaQuente 15.8
#JornalDaGlobo 9.2
#ConversaComBial 7.4",#AForçaDoQuerer 31.9 #OsDiasEramAssim,Consolidated - GLOBO (15/05): #AForçaDoQuerer 31.9 #OsDiasEramAssim 22.4 #TelaQuente 15.8 #JornalDaGlobo 9.2 #ConversaComBial 7.4,0
199,O cara que mais joga sujo falando sobre o que é justo ou não.  Difícil aturar esse Leonardo. #MasterChefBR,It is hard to snake Leonardo. #MasterChefBR,The guy who plays most dirty talking about what’s right or not.It’s hard to stop this Leonardo. #MasterChefBR,-1
200,Não posso com esse programa me dá um desespero pqp #EquipeAzul #MasterChefBR,I cannot with this program give me a desperation pqp #,I can't with this program gives me a despair pqp #EquipeAzul #MasterChefBR,-1
201,"Aí que agonia essa Marian, meu Deus do céu, mulher!! #MasterChefBR","That's what agony this Marian, my God of he""","So that agony this Marian, my God of heaven, woman!! #MasterChefBR",-1
202,SOCORRO QUE NERVOSO VAI TOMAR NO CU #MasterChefBR,WHERE THE NERVOUS SOCORER IS T,The help that the nervous will take on #MasterChefBR,-1
203,A Ana arrasou! Parecia a mais perdida #MasterChefBR,Ana ran out! She seemed the lost #MasterChefBR,It looked like the most lost #MasterChefBR,1
204, hoje as duas equipes estão na luta agora basta saber qual será nocauteada. #MasterChefBR,#MasterChefBR,Today the two teams are in the struggle now just know which will be nocauteed. #MasterChefBR,0
205,"Preciso ler este livro! :D 
Adoro novela! XD
Saudades #RoqueSanteiro 
#Encontro",I love this novel! XD Saudades #RoqueSanteiro,I need to read this book! :D I love the novel! XD Congratulations #RoqueSanteiro #Encounter,1
206,Acordei agora insatisfeita com o resultado do #MasterChefBR,I wake up now unsatisfied with the result of #Master,I am now unhappy with the #MasterChefBR result,-1
207,As senhoras tão se achando as SABIDONAS do ferro de passar. Kkkkkk #maisvoce,Kkkkkk #maisvoce,The ladies so find the wisdom of the iron to pass. Kkkkkk #maisvoce,-1
208,"#videoshowaovivo Nanda Costa lacrando na próxima das 19h00!!!! Adoooooro!!! Nossa eterna heroína de ""Salve Jorge""!!!! 💋💋💋💋💋💋💋❤❤❤❤❤❤❤❤","Our eternal heroine of ""Salve Jorge""!!!! ❤❤","I'm not sure if I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy.",1
209,mal começou o programa e eu já tô chorando #AltasHoras,"I'm crying #AltasHorasHorasHorasHorasHoras""",It’s hard to start the program and I’m already crying #AltasHoras,1
210,Braulio sempre com suas poesias 😍 #Encontro,Braulio always with his poems  #Encontrol Bra,Braulio always with his poems,1
211,"Tá errado  o Victor não fez a prova pq ele se machucou, não foi um fator externo. Injusto com o Abel. #masterchefbr",It is wrong Victor did not take the test because he,"That's wrong Victor didn't prove pq he wounded himself, it wasn't an external factor.",-1
212,"#ConversaComBial
Ansiosa pra assistir a conversa de hoje sobre política. Começa logo",Starts soon after the conversation on politics.,#ConversaComBial Anxiosa to watch today's talk about politics.,1
213," Bora melhorar as pesquisas sobre a cultura paraense, a DINDIN aqui é dinheiro! sacolé = chopp  #VideoShowAoVivo",The DINDIN here is money! sacolé = chopp #Vide,"Bora improve the research on paranoid culture, DINDIN here is money! sacolé = chopp #VideoShowAoVivo",-1
214,#AltasHoras apareceu o índice de morte na minha cidade tô muito assustado #BelemPedePaz,I am very scared #BelemPedePaz,#AltasHoras appeared the death rate in my city I'm very scared #BelemPedePaz,-1
215,O Tchan já pode substituir a morena pela Bella Gil! #AltasHoras,#AltasHours,Tchan can now be replaced by Bella Gil!,0
216,Rafael ainda nem nasceu e já escuta  #anjo #40semanas #EDeCasa,Rafael is still not born and hears #anjo #40week,"I'm not sure I'm going to do it, I'm not sure I'm going to do it.",1
217,"#ConversaComBial, até que enfim um excelente programa de entrevistas na TV aberta. 👍","Finally, an excellent interview program on open TV has been","#ConversaComBial, until it ends with an excellent TV interview program.",1
